-182.518, 78.378, 1.636,  1.765
-182.494, 78.328, 1.642,  1.798
-182.471, 78.279, 1.647,  1.831
-182.449, 78.229, 1.645,  1.864
-182.429, 78.178, 1.640,  1.897
-182.409, 78.127, 1.639,  1.930
-182.390, 78.075, 1.639,  1.963
-182.372, 78.024, 1.630,  1.996
-182.356, 77.972, 1.622,  2.029
-182.340, 77.920, 1.626,  2.062
-182.323, 77.867, 1.633,  2.095
-182.307, 77.815, 1.642,  2.128
-182.290, 77.762, 1.652,  2.161
-182.274, 77.709, 1.649,  2.194
-182.260, 77.655, 1.651,  2.227
-182.246, 77.601, 1.660,  2.260
-182.231, 77.547, 1.671,  2.293
-182.217, 77.493, 1.682,  2.326
-182.202, 77.438, 1.692,  2.359
-182.187, 77.383, 1.701,  2.392
-182.173, 77.327, 1.707,  2.425
-182.158, 77.272, 1.713,  2.458
-182.144, 77.216, 1.719,  2.491
-182.130, 77.160, 1.723,  2.524
-182.116, 77.104, 1.728,  2.557
-182.103, 77.047, 1.731,  2.590
-182.090, 76.990, 1.735,  2.623
-182.077, 76.934, 1.739,  2.656
-182.065, 76.877, 1.742,  2.689
-182.053, 76.819, 1.746,  2.722
-182.041, 76.762, 1.750,  2.755
-182.029, 76.704, 1.754,  2.788
-182.018, 76.646, 1.758,  2.821
-182.007, 76.588, 1.763,  2.854
-181.997, 76.530, 1.767,  2.887
-181.987, 76.471, 1.772,  2.920
-181.975, 76.412, 1.793,  2.953
-181.960, 76.354, 1.803,  2.986
-181.947, 76.295, 1.805,  3.019
-181.936, 76.236, 1.804,  3.052
-181.925, 76.176, 1.804,  3.085
-181.916, 76.117, 1.804,  3.118
-181.907, 76.057, 1.806,  3.151
-181.896, 75.997, 1.825,  3.184
-181.885, 75.937, 1.830,  3.217
-181.875, 75.876, 1.830,  3.250
-181.867, 75.815, 1.831,  3.283
-181.856, 75.755, 1.849,  3.316
-181.845, 75.694, 1.853,  3.349
-181.836, 75.633, 1.852,  3.382
-181.828, 75.571, 1.856,  3.415
-181.818, 75.509, 1.869,  3.448
-181.809, 75.447, 1.870,  3.481
-181.802, 75.385, 1.868,  3.514
-181.796, 75.323, 1.873,  3.547
-181.787, 75.260, 1.892,  3.580
-181.778, 75.197, 1.897,  3.613
-181.771, 75.134, 1.901,  3.646
-181.763, 75.071, 1.910,  3.679
-181.755, 75.008, 1.916,  3.712
-181.747, 74.944, 1.924,  3.745
-181.739, 74.880, 1.930,  3.778
-181.731, 74.816, 1.935,  3.811
-181.724, 74.751, 1.941,  3.844
-181.717, 74.687, 1.944,  3.877
-181.710, 74.622, 1.949,  3.910
-181.704, 74.557, 1.954,  3.943
-181.695, 74.492, 1.965,  3.976
-181.687, 74.427, 1.972,  4.009
-181.678, 74.361, 1.977,  4.042
-181.671, 74.296, 1.977,  4.075
-181.663, 74.230, 1.987,  4.108
-181.655, 74.164, 1.993,  4.141
-181.649, 74.098, 1.993,  4.174
-181.642, 74.031, 2.000,  4.207
-181.636, 73.965, 2.007,  4.240
-181.629, 73.898, 2.013,  4.273
-181.624, 73.831, 2.015,  4.306
-181.619, 73.764, 2.025,  4.339
-181.611, 73.696, 2.035,  4.372
-181.602, 73.629, 2.043,  4.405
-181.593, 73.561, 2.050,  4.438
-181.584, 73.493, 2.056,  4.471
-181.576, 73.425, 2.063,  4.504
-181.569, 73.356, 2.065,  4.537
-181.564, 73.287, 2.062,  4.570
-181.561, 73.218, 2.067,  4.603
-181.558, 73.149, 2.075,  4.636
-181.554, 73.080, 2.083,  4.669
-181.550, 73.010, 2.092,  4.702
-181.547, 72.940, 2.100,  4.735
-181.544, 72.870, 2.107,  4.768
-181.541, 72.799, 2.115,  4.801
-181.538, 72.728, 2.123,  4.834
-181.536, 72.657, 2.130,  4.867
-181.534, 72.586, 2.137,  4.900
-181.532, 72.514, 2.144,  4.933
-181.527, 72.443, 2.156,  4.966
-181.522, 72.371, 2.164,  4.999
-181.516, 72.299, 2.170,  5.032
-181.510, 72.226, 2.176,  5.065
-181.504, 72.154, 2.181,  5.098
-181.498, 72.081, 2.187,  5.131
-181.492, 72.009, 2.192,  5.164
-181.487, 71.936, 2.197,  5.197
-181.481, 71.862, 2.203,  5.230
-181.475, 71.789, 2.209,  5.263
-181.471, 71.715, 2.212,  5.296
-181.469, 71.642, 2.217,  5.329
-181.464, 71.568, 2.226,  5.362
-181.460, 71.493, 2.234,  5.395
-181.455, 71.419, 2.242,  5.428
-181.450, 71.344, 2.249,  5.461
-181.446, 71.269, 2.257,  5.494
-181.443, 71.193, 2.260,  5.527
-181.441, 71.118, 2.267,  5.560
-181.439, 71.042, 2.274,  5.593
-181.438, 70.966, 2.281,  5.626
-181.437, 70.890, 2.288,  5.659
-181.436, 70.813, 2.296,  5.692
-181.435, 70.736, 2.304,  5.725
-181.434, 70.659, 2.312,  5.758
-181.434, 70.582, 2.319,  5.791
-181.432, 70.504, 2.329,  5.824
-181.430, 70.426, 2.337,  5.857
-181.428, 70.348, 2.345,  5.890
-181.426, 70.270, 2.351,  5.923
-181.425, 70.191, 2.358,  5.956
-181.423, 70.112, 2.365,  5.989
-181.422, 70.033, 2.371,  6.022
-181.420, 69.954, 2.378,  6.055
-181.419, 69.875, 2.385,  6.088
-181.418, 69.795, 2.392,  6.121
-181.417, 69.715, 2.399,  6.154
-181.416, 69.635, 2.406,  6.187
-181.415, 69.555, 2.413,  6.220
-181.414, 69.474, 2.420,  6.253
-181.413, 69.393, 2.428,  6.286
-181.413, 69.312, 2.435,  6.319
-181.412, 69.231, 2.443,  6.352
-181.412, 69.149, 2.450,  6.385
-181.412, 69.067, 2.458,  6.418
-181.411, 68.985, 2.466,  6.451
-181.411, 68.902, 2.474,  6.484
-181.410, 68.820, 2.482,  6.517
-181.409, 68.737, 2.489,  6.550
-181.408, 68.654, 2.497,  6.583
-181.407, 68.570, 2.505,  6.616
-181.406, 68.486, 2.512,  6.649
-181.406, 68.403, 2.520,  6.682
-181.405, 68.318, 2.527,  6.715
-181.405, 68.234, 2.535,  6.748
-181.404, 68.149, 2.543,  6.781
-181.403, 68.064, 2.550,  6.814
-181.403, 67.979, 2.558,  6.847
-181.403, 67.894, 2.566,  6.880
-181.402, 67.808, 2.574,  6.913
-181.402, 67.722, 2.581,  6.946
-181.402, 67.636, 2.589,  6.979
-181.402, 67.549, 2.597,  7.012
-181.402, 67.462, 2.605,  7.045
-181.401, 67.375, 2.613,  7.078
-181.401, 67.288, 2.621,  7.111
-181.402, 67.200, 2.629,  7.144
-181.402, 67.112, 2.637,  7.177
-181.400, 67.024, 2.645,  7.210
-181.400, 66.936, 2.653,  7.243
-181.400, 66.847, 2.661,  7.276
-181.399, 66.758, 2.669,  7.309
-181.399, 66.669, 2.677,  7.342
-181.399, 66.580, 2.685,  7.375
-181.398, 66.490, 2.693,  7.408
-181.398, 66.400, 2.702,  7.441
-181.398, 66.310, 2.710,  7.474
-181.397, 66.219, 2.718,  7.507
-181.397, 66.128, 2.727,  7.540
-181.396, 66.037, 2.735,  7.573
